miner	venue	URL
JOS		https://g1.globo.com/sp/sao-carlos-regiao/noticia/2021/03/23/jovem-e-preso-pela-policia-rodoviaria-em-araraquara-por-receptacao.ghtml
JOS		https://g1.globo.com/mg/grande-minas/noticia/2021/03/24/policia-civil-e-prf-apreendem-carga-roubada-em-medina.ghtml
JOS		https://g1.globo.com/mg/centro-oeste/noticia/2021/03/22/policia-militar-procura-por-mulher-que-desapareceu-em-abaete.ghtml
JOS		https://g1.globo.com/pe/caruaru-regiao/noticia/2021/03/29/amigos-utilizam-redes-sociais-para-arrecadar-alimentos-para-familias-carentes-de-caruaru-e-bezerros.ghtml#G1-FEED-REGIONAIS-item-sel-24,rec-item-24h-postconvuf,70cd791e-c9a3-4e77-80bd-eda0f30e22ac
JOS		https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2021/03/20/policia-apreende-fuzil-submetralhadoras-e-drogas-em-operacao-em-pindamonhangaba.ghtml
JOS		https://g1.globo.com/mundo/noticia/2021/03/19/policia-francesa-confunde-bala-de-morango-com-drogas-sinteticas.ghtml
JOS		https://noticias.uol.com.br/politica/ultimas-noticias/2021/03/29/mensagem-anpr-lula.htm
JOS		https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/03/29/adolescente-morre-queda-cachoeira-dez-metros-santa-catarina.htm
JOS		https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/03/29/morre-paciente-com-covid-19-fugiu-hospital-londrina-pr.htm
JOS		https://noticias.uol.com.br/colunas/leonardo-sakamoto/2021/03/29/mourao-toma-coronavac-e-cutuca-jair-apos-queda-do-chanceler-anti-china.htm
JOS		https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/03/29/sc-boi-invade-pousada-e-cai-em-piscina-apos-ser-perseguido-em-bombinhas.htm
JOS		https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2021/03/29/secretaria-de-educacao-basica-uma-das-mais-importantes-do-mec-pede-demissao.htm
JOS		https://noticias.uol.com.br/politica/ultimas-noticias/2021/03/29/lider-do-centrao-temos-mais-identificacao-com-bolsonaro-do-que-com-lula.htm
JOS		https://noticias.uol.com.br/internacional/ultimas-noticias/2021/03/29/inglesa-afirma-que-filho-foi-isolado-na-escola-devido-a-corte-de-cabelo.htm
JOS		https://noticias.uol.com.br/colunas/coluna-entendendo-bolsonaro/2021/03/29/nada-mudara-na-politica-externa-enquanto-bolsonaro-for-presidente.htm
JOS		https://noticias.uol.com.br/colunas/jamil-chade/2021/03/29/cotado-para-itamaraty-promoveu-boicote-a-evento-que-homenageava-marielle.htm?cmpid=copiaecola
JOS		https://noticias.uol.com.br/colunas/reinaldo-azevedo/2021/03/29/claudio-castro-celebra-aniversario-apos-pedir-que-populacao-evitasse-festas.htm
JOS		https://www1.folha.uol.com.br/colunas/helioschwartsman/2021/03/as-palavras-de-um-santo.shtml
JOS		https://www1.folha.uol.com.br/colunas/eliogaspari/2021/03/pazuello-contribuiu-mostrando-o-tapete-debaixo-do-qual-esta-a-sujeira.shtml
JOS		https://www1.folha.uol.com.br/colunas/eliogaspari/2021/03/se-fizer-o-mesmo-sinal-com-os-dedos-na-lapa-filipe-martins-tera-experiencia-desagradavel.shtml
JOS		https://economia.uol.com.br/colunas/econoweek/2021/03/26/tesouro-selic-de-10-esta-de-volta.htm
