Miner	Venue	URLs on racial discrimination
JOS	UOL	https://tab.uol.com.br/noticias/redacao/2020/06/18/por-que-a-moda-e-uma-industria-racista-no-brasil-e-no-mundo.htm
JOS	UOL	https://www.uol.com.br/universa/noticias/redacao/2020/06/05/alunos-envolvidos-em-casos-de-racismo-em-colegio-no-rio-sao-indiciados.htm
JOS	UOL	https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2020/09/13/tribunal-mantem-condenacao-de-prestadora-de-servicos-por-racismo.htm
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/05/13/empresa-e-condenada-por-racismo-funcionaria-foi-amarrada-por-sair-cedo.htm
JOS	UOL	https://educacao.uol.com.br/noticias/bbc/2020/06/24/criancas-reproduzem-racismo-o-debate-que-transformou-escola-em-sp.htm
JOS	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/07/01/as-mudancas-nao-serao-imeditadas-estrutura-racista-e-secular-diz-djamila.htm
JOS	UOL	https://noticias.uol.com.br/colunas/rogerio-gentile/2020/09/15/justica-aceita-denuncia-e-youtuber-cocielo-vira-reu-em-processo-por-racismo.htm
JOS	G1	https://g1.globo.com/mg/sul-de-minas/noticia/2020/08/23/mesmo-sendo-maioria-empresarios-negros-relatam-rotina-de-combate-ao-racismo-no-dia-a-dia.ghtml
JOS	R7	https://noticias.r7.com/brasileiro-reconhece-racismo-mas-critica-politicamente-correto-diz-pesquisa-17062020
JOS	UOL	https://noticias.uol.com.br/internacional/ultimas-noticias/2020/08/27/caso-jacob-blake-xerife-de-kenosha-ja-foi-acusado-de-racismo-em-2018.htm
RA00297726	G1	https://g1.globo.com/mundo/noticia/2020/09/23/milhares-protestam-nos-eua-apos-decisao-no-caso-breonna-taylor.ghtml
RA00297726	G1	https://noticias.uol.com.br/internacional/ultimas-noticias/2020/10/21/morte-de-breonna-taylor-nao-e-sobre-raca-diz-policial-envolvido-no-caso.htm
RA00275004	BBC	https://www.bbc.com/portuguese/geral-56095921
RA00297746	G1 	https://g1.globo.com/pe/pernambuco/noticia/2020/06/05/racismo-e-extremamente-violento-e-esta-no-nosso-dia-a-dia-diz-doutor-em-educacao.ghtml
RA00297726	Veja Abril	https://veja.abril.com.br/esporte/alvo-de-racismo-na-espanha-daniel-alves-come-banana-jogada-por-torcedor/
RA00297726	Veja Abril	https://veja.abril.com.br/esporte/racismo-no-basquete-americano-indigna-pais-e-repercute-na-casa-branca/
RA00297726	Veja Abril	https://veja.abril.com.br/esporte/racismo-contra-tinga-rende-multa-de-r-27-890-a-time-peruano/
RA00275004	BBC	https://www.bbc.com/portuguese/brasil-56291279
RA00297726	R7	https://entretenimento.r7.com/pop/integrante-do-fifth-harmony-deixara-o-twitter-apos-ser-alvo-de-ataques-racistas-05102019
RA00275004	UOL	https://www.uol.com.br/vivabem/reportagens-especiais/saude-da-populacao-negra/#cover
RA00297726	Estadão	https://emais.estadao.com.br/noticias/gente,normani-do-fifth-harmony-deixa-o-twitter-apos-ataques-racistas,10000067861
RA00297746	G1	https://g1.globo.com/mg/sul-de-minas/noticia/2021/03/08/tecnica-de-enfermagem-investigada-por-racismo-em-mg-tem-audios-analisados-pela-policia-civil.ghtml
RA00297746	G1	https://g1.globo.com/sp/sao-paulo/noticia/2019/12/16/justica-de-sp-ouve-aluno-da-fgv-que-chamou-colega-negro-de-escravo.ghtml
RA00297726	UOL	https://www.uol.com.br/esporte/futebol/ultimas-noticias/2020/09/14/neymar-sobre-racismo-percebi-que-responsaveis-nao-fariam-nada-me-revoltei.htm
RA00275004	CBN	https://cbn.globoradio.globo.com/media/audio/327228/morte-de-george-floyd-nos-eua-reacendeu-debate-sob.htm
RA00297746	G1	https://g1.globo.com/ma/maranhao/noticia/2020/12/02/maranhao-registra-101-casos-de-racismo-e-injuria-racial-nos-oito-primeiros-meses-de-2020.ghtml
RA00297726	UOL	https://www.uol.com.br/universa/noticias/redacao/2020/12/12/apos-indicacao-ao-grammy-fas-apontam-racismo-contra-filha-de-beyonce.htm
RA00297746	G1	https://g1.globo.com/mundo/noticia/2021/03/08/nos-estados-unidos-juiz-adia-inicio-do-julgamento-do-policial-acusado-de-george-floyd.ghtml
RA00297726	CLAUDIA	https://claudia.abril.com.br/noticias/facebook-deleta-posts-racistas-misoginos-sobre-kamala-harris/
RA00297726	Folha de São Paulo	https://www1.folha.uol.com.br/mundo/2020/08/fracasso-da-lideranca-de-trump-custou-vidas-nos-eua-diz-kamala-harris.shtml
RA00297726	El país	https://brasil.elpais.com/smoda/2020-06-07/de-michelle-obama-a-muhammad-ali-25-frases-que-abriram-nossos-olhos-contra-o-racismo.html
RA00297746	G1	https://g1.globo.com/go/goias/noticia/2020/12/21/policia-ja-ouviu-seis-pessoas-em-caso-de-garoto-que-denunciou-ofensas-raciais-em-jogo-de-futebol-em-caldas-novas.ghtml
RA00275004	ESTADÃO	https://www.estadao.com.br/infograficos/politica,direitos-humanos-combater-a-violencia-contra-negros,1137549
RA00297726	Exame	https://exame.com/mundo/quero-que-saibam-que-suas-vidas-importam-diz-obama-a-jovens-negros/
RA00297746	G1	https://g1.globo.com/sp/campinas-regiao/noticia/2020/12/24/retrospectiva-2020-casos-de-preconceito-e-violencia-contra-a-mulher-na-regiao-de-campinas.ghtml
RA00297726	Veja Abril	https://veja.abril.com.br/mundo/obama-condena-lideres-que-normalizam-sentimentos-racistas/
RA00297726	Globoesporte	https://globoesporte.globo.com/basquete/nba/noticia/atletas-se-manifestam-em-apoio-a-boicote-na-nba-apos-novo-caso-de-racismo-nos-eua.ghtml
RA00297746	G1	https://g1.globo.com/pe/pernambuco/noticia/2020/09/30/caso-miguel-e-citado-como-exemplo-de-racismo-sistemico-na-pandemia-em-relatorio-de-grupo-da-onu.ghtml
RA00297746	G1	https://g1.globo.com/sp/sao-carlos-regiao/noticia/2019/07/14/policia-e-sindicancia-da-prefeitura-de-sao-carlos-investigam-supostos-casos-de-racismo-em-secretaria.ghtml
RA00275004	G1	https://g1.globo.com/mundo/noticia/2021/03/08/entrevista-de-meghan-markle-e-harry-veja-repercussao.ghtml
RA00297726	Veja Abril	https://veja.abril.com.br/esporte/caso-westbrook-e-o-racismo-historico-na-nba/
RA00275004	OharDigital	https://olhardigital.com.br/2021/03/09/pro/facebook-e-investigado-por-suspeita-de-racismo-sistemico/
RA00297746	G1	https://g1.globo.com/pop-arte/noticia/2020/08/27/modelo-mariana-vassequi-se-pronuncia-apos-caso-de-racismo-envolvendo-cabeleireiro.ghtml
RA00297746	G1	https://g1.globo.com/mundo/noticia/2021/03/07/julgamento-do-policial-acusado-da-morte-de-george-floyd-comeca-nesta-segunda-feira-8.ghtml
RA00297746	G1	https://g1.globo.com/mundo/noticia/2020/09/26/eua-tem-novos-protestos-contra-o-racismo-apos-decisao-judicial-que-livrou-policiais-envolvidos-no-caso-breonna-taylor.ghtml
RA00297726	BBC	https://www.bbc.com/portuguese/salasocial-45482534
RA00297746	G1	https://g1.globo.com/politica/noticia/2021/02/24/procuradoria-arquiva-inquerito-que-apurava-suposto-racismo-de-weintraub-contra-chineses.ghtml
RA00297726	UOL	https://www.uol.com.br/esporte/tenis/ultimas-noticias/2020/09/09/us-open-osaka-protesta-contra-racismo-com-mascara-com-nomes-de-vitimas.htm
RA00297726	UOL	https://www.uol.com.br/universa/noticias/redacao/2019/10/25/racismo-adoece-e-prejudica-empreendoras-diz-coach-para-pessoas-negras.htm
RA00275004	Estado de Minas	https://www.em.com.br/app/noticia/internacional/2021/03/09/interna_internacional,1244679/cresce-pressao-para-familia-real-responder-acusacoes-de-racismo.shtml
RA00275004	FOLHA	https://f5.folha.uol.com.br/televisao/2021/03/tais-araujo-diz-que-filhos-sofreram-racismo-e-destaca-importancia-da-representatividade.shtml
RA00297726	G1	http://g1.globo.com/educacao/noticia/2015/11/casos-de-racismo-sacodem-universidades-nos-eua.html
RA00297726	Terra	https://www.terra.com.br/noticias/bridgerton-lida-com-a-questao-da-raca-mas-o-seu-cerne-e-o-escapismo,d8c12f9d146a8c366dfc92efc5bf2ba2b7gkf6ke.html
RA00297726	Veja	https://veja.abril.com.br/blog/tela-plana/bridgerton-lidera-onda-da-tv-que-muda-o-passado-para-falar-do-presente/
RA00297746	G1	http://g1.globo.com/fantastico/noticia/2018/05/estudantes-relatam-casos-de-crime-de-racismo-no-ambiente-universitario.html
RA00297746	G1	https://g1.globo.com/rs/rio-grande-do-sul/noticia/estudantes-registram-boletim-de-ocorrencia-nas-policias-civil-e-federal-contra-casos-de-racismo-na-unisc.ghtml
RA00297726	Agência Brasil	https://agenciabrasil.ebc.com.br/justica/noticia/2020-04/stf-abre-inquerito-contra-ministro-da-educacao-por-suposto-racismo
RA00275004	UOL	https://noticias.uol.com.br/cotidiano/ultimas-noticias/2021/03/08/delegado-nao-ve-racismo-apos-mulher-negra-ser-acusada-de-furto-em-sp.htm
RA00297746	G1	https://g1.globo.com/mundo/noticia/2020/06/01/china-denuncia-doenca-cronica-do-racismo-nos-eua-e-ira-critica-reacao-do-governo-americano-no-caso-george-floyd.ghtml
RA00297726	G1	https://g1.globo.com/fantastico/noticia/2021/02/21/exclusivo-83percent-dos-presos-injustamente-por-reconhecimento-fotografico-no-brasil-sao-negros.ghtml
